"","Group.1","x"
"891",2013-10-04,15.90235
"892",2013-10-05,17.65564
"893",2013-10-06,17.96774
"894",2013-10-07,8.904052
"895",2013-10-08,6.904579
"896",2013-10-09,7.345033
"897",2013-10-10,10.47256
"898",2013-10-11,11.85602
"899",2013-10-12,14.2857
"900",2013-10-13,13.88515
"901",2013-10-14,11.46451
"902",2013-10-15,10.09422
"903",2013-10-16,11.74674
"904",2013-10-17,14.24898
"905",2013-10-18,7.080809
"906",2013-10-19,7.020716
"907",2013-10-20,2.730862
"908",2013-10-21,4.321444
"909",2013-10-22,4.82886
"910",2013-10-23,4.241706
"911",2013-10-24,0.608021
"912",2013-10-25,-1.068537
