"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","dtr",1936,6,8.7,1
"Amacayacu","dtr",1936,7,9.8,1
"Amacayacu","dtr",1936,8,9.7,0
"Amacayacu","dtr",1936,9,10,0
"Amacayacu","dtr",1936,10,9.4,0
"Amacayacu","dtr",1936,11,9.1,0
"Amacayacu","dtr",1936,12,8.5,0
"Amacayacu","dtr",1937,1,8.6,0
"Amacayacu","dtr",1937,2,8.7,0
"Amacayacu","dtr",1937,3,8.6,0
"Amacayacu","dtr",1937,4,8,0
"Amacayacu","dtr",1937,5,7.9,0
"Amacayacu","dtr",1937,6,8.4,0
"Amacayacu","dtr",1937,7,9.3,1
"Amacayacu","dtr",1937,8,10,1
"Amacayacu","dtr",1937,9,10.1,1
"Amacayacu","dtr",1937,10,9.7,1
"Amacayacu","dtr",1937,11,9.6,1
"Amacayacu","dtr",1937,12,8.9,1
"Amacayacu","dtr",1938,1,8.6,0
"Amacayacu","dtr",1938,2,8.7,0
"Amacayacu","dtr",1938,3,8.5,1
"Amacayacu","dtr",1938,4,7.8,1
"Amacayacu","dtr",1938,5,8,1
"Amacayacu","dtr",1938,6,8.5,1
"Amacayacu","dtr",1938,7,9.5,1
"Amacayacu","dtr",1938,8,9.8,1
"Amacayacu","dtr",1938,9,10.3,1
"Amacayacu","dtr",1938,10,9.3,1
"Amacayacu","dtr",1938,11,8.9,1
"Amacayacu","dtr",1938,12,8.5,1
"Amacayacu","dtr",1939,1,8.6,1
"Amacayacu","dtr",1939,2,8.6,1
"Amacayacu","dtr",1939,3,8.3,1
"Amacayacu","dtr",1939,4,7.9,1
"Amacayacu","dtr",1939,5,8.1,1
"Amacayacu","dtr",1939,6,8.6,1
"Amacayacu","dtr",1939,7,9.4,1
"Amacayacu","dtr",1939,8,9.6,1
"Amacayacu","dtr",1939,9,10,1
"Amacayacu","dtr",1939,10,9.6,1
"Amacayacu","dtr",1939,11,9.2,1
"Amacayacu","dtr",1939,12,8.6,1
"Amacayacu","dtr",1940,1,8.9,1
"Amacayacu","dtr",1940,2,8.8,1
"Amacayacu","dtr",1940,3,8.5,1
"Amacayacu","dtr",1940,4,7.9,1
"Amacayacu","dtr",1940,5,7.9,1
"Amacayacu","dtr",1940,6,8.6,1
"Amacayacu","dtr",1940,7,9.6,1
"Amacayacu","dtr",1940,8,9.5,1
"Amacayacu","dtr",1940,9,9.9,1
"Amacayacu","dtr",1940,10,9.4,1
"Amacayacu","dtr",1940,11,9.3,1
"Amacayacu","dtr",1940,12,8.3,1
"Amacayacu","dtr",1941,1,8.3,1
"Amacayacu","dtr",1941,2,8.7,1
"Amacayacu","dtr",1941,3,8.7,1
"Amacayacu","dtr",1941,4,7.9,1
"Amacayacu","dtr",1941,5,7.9,1
"Amacayacu","dtr",1941,6,8.3,1
"Amacayacu","dtr",1941,7,9.5,1
"Amacayacu","dtr",1941,8,9.7,1
"Amacayacu","dtr",1941,9,10.1,1
"Amacayacu","dtr",1941,10,9.3,1
"Amacayacu","dtr",1941,11,9.4,1
"Amacayacu","dtr",1941,12,8.4,1
"Amacayacu","dtr",1942,1,8.6,1
"Amacayacu","dtr",1942,2,8.7,1
"Amacayacu","dtr",1942,3,8.7,1
"Amacayacu","dtr",1942,4,8,1
"Amacayacu","dtr",1942,5,7.6,1
"Amacayacu","dtr",1942,6,8.3,1
"Amacayacu","dtr",1942,7,9.1,1
"Amacayacu","dtr",1942,8,10,1
"Amacayacu","dtr",1942,9,10.2,1
"Amacayacu","dtr",1942,10,9.3,1
"Amacayacu","dtr",1942,11,9.2,1
"Amacayacu","dtr",1942,12,8.4,1
"Amacayacu","dtr",1943,1,8.5,1
"Amacayacu","dtr",1943,2,8.5,1
"Amacayacu","dtr",1943,3,8.4,1
"Amacayacu","dtr",1943,4,7.8,1
"Amacayacu","dtr",1943,5,7.9,1
"Amacayacu","dtr",1943,6,8.4,1
"Amacayacu","dtr",1943,7,9.3,1
"Amacayacu","dtr",1943,8,9.6,1
"Amacayacu","dtr",1943,9,10.1,1
"Amacayacu","dtr",1943,10,9.5,1
"Amacayacu","dtr",1943,11,9,1
"Amacayacu","dtr",1943,12,8.4,1
"Amacayacu","dtr",1944,1,8.4,1
"Amacayacu","dtr",1944,2,8.5,1
"Amacayacu","dtr",1944,3,8.4,1
"Amacayacu","dtr",1944,4,8,1
"Amacayacu","dtr",1944,5,7.7,1
"Amacayacu","dtr",1944,6,8.4,1
"Amacayacu","dtr",1944,7,9.3,1
"Amacayacu","dtr",1944,8,9.7,1
"Amacayacu","dtr",1944,9,10,1
"Amacayacu","dtr",1944,10,9.5,1
"Amacayacu","dtr",1944,11,9,1
"Amacayacu","dtr",1944,12,8.4,1
"Amacayacu","dtr",1945,1,8.6,1
"Amacayacu","dtr",1945,2,8.8,1
"Amacayacu","dtr",1945,3,8.8,1
"Amacayacu","dtr",1945,4,8,1
"Amacayacu","dtr",1945,5,7.6,1
"Amacayacu","dtr",1945,6,8,1
"Amacayacu","dtr",1945,7,9.4,1
"Amacayacu","dtr",1945,8,9.9,1
"Amacayacu","dtr",1945,9,10.3,1
"Amacayacu","dtr",1945,10,9.5,1
"Amacayacu","dtr",1945,11,8.8,1
"Amacayacu","dtr",1945,12,8.5,1
"Amacayacu","dtr",1946,1,8.4,1
"Amacayacu","dtr",1946,2,8.8,1
"Amacayacu","dtr",1946,3,8.7,1
"Amacayacu","dtr",1946,4,8,1
"Amacayacu","dtr",1946,5,8,1
"Amacayacu","dtr",1946,6,8.7,1
"Amacayacu","dtr",1946,7,9.4,1
"Amacayacu","dtr",1946,8,9.7,1
"Amacayacu","dtr",1946,9,10,1
"Amacayacu","dtr",1946,10,9.4,1
"Amacayacu","dtr",1946,11,9,1
"Amacayacu","dtr",1946,12,8.6,1
"Amacayacu","dtr",1947,1,8.4,1
"Amacayacu","dtr",1947,2,9,1
"Amacayacu","dtr",1947,3,8.8,1
"Amacayacu","dtr",1947,4,7.9,1
"Amacayacu","dtr",1947,5,7.9,1
"Amacayacu","dtr",1947,6,8.4,1
"Amacayacu","dtr",1947,7,9.1,1
"Amacayacu","dtr",1947,8,9.7,0
"Amacayacu","dtr",1947,9,10,0
"Amacayacu","dtr",1947,10,9.4,0
"Amacayacu","dtr",1947,11,9.1,0
"Amacayacu","dtr",1947,12,8.5,0
"Amacayacu","dtr",1948,1,8.6,0
