"sites.sitename","Year_month","mean_TMP","mean_TMN"
"Wanang","2005-01",17.7000916244921,22.6561394666944
"Wanang","2005-02",17.7000916244921,22.6561394666944
"Wanang","2005-03",17.7000916244921,22.6561394666944
"Wanang","2005-04",17.7000916244921,22.6561394666944
"Wanang","2005-05",17.7000916244921,22.6561394666944
"Wanang","2005-06",17.7000916244921,22.6561394666944
"Wanang","2005-07",17.7000916244921,22.6561394666944
"Wanang","2005-08",17.7000916244921,22.6561394666944
"Wanang","2005-09",17.7000916244921,22.6561394666944
"Wanang","2005-10",17.7000916244921,22.6561394666944
"Wanang","2005-11",17.7000916244921,22.6561394666944
"Wanang","2005-12",17.7000916244921,22.6561394666944
"Wanang","2006-01",17.7000916244921,22.6561394666944
"Wanang","2006-02",17.7000916244921,22.6561394666944
"Wanang","2006-03",17.7000916244921,22.6561394666944
"Wanang","2006-04",17.7000916244921,22.6561394666944
"Wanang","2006-05",17.7000916244921,22.6561394666944
"Wanang","2006-06",17.7000916244921,22.6561394666944
"Wanang","2006-07",17.7000916244921,22.6561394666944
"Wanang","2006-08",17.7000916244921,22.6561394666944
"Wanang","2006-09",17.7000916244921,22.6561394666944
"Wanang","2006-10",17.7000916244921,22.6561394666944
"Wanang","2006-11",17.7000916244921,22.6561394666944
"Wanang","2006-12",17.7000916244921,22.6561394666944
"Wanang","2007-01",17.7000916244921,22.6561394666944
"Wanang","2007-02",17.7000916244921,22.6561394666944
"Wanang","2007-03",17.7000916244921,22.6561394666944
"Wanang","2007-04",17.7000916244921,22.6561394666944
"Wanang","2007-05",17.7000916244921,22.6561394666944
"Wanang","2007-06",17.7000916244921,22.6561394666944
"Wanang","2007-07",17.7000916244921,22.6561394666944
"Wanang","2007-08",17.7000916244921,22.6561394666944
"Wanang","2007-09",17.7000916244921,22.6561394666944
"Wanang","2007-10",17.7000916244921,22.6561394666944
"Wanang","2007-11",17.7000916244921,22.6561394666944
"Wanang","2007-12",17.7000916244921,22.6561394666944
"Wanang","2008-01",17.7000916244921,22.6561394666944
"Wanang","2008-02",17.7000916244921,22.6561394666944
"Wanang","2008-03",17.7000916244921,22.6561394666944
"Wanang","2008-04",17.7000916244921,22.6561394666944
"Wanang","2008-05",17.7000916244921,22.6561394666944
"Wanang","2008-06",17.7000916244921,22.6561394666944
"Wanang","2008-07",17.7000916244921,22.6561394666944
"Wanang","2008-08",17.7000916244921,22.6561394666944
"Wanang","2008-09",17.7000916244921,22.6561394666944
"Wanang","2008-10",17.7000916244921,22.6561394666944
"Wanang","2008-11",17.7000916244921,22.6561394666944
"Wanang","2008-12",17.7000916244921,22.6561394666944
"Wanang","2009-01",17.7000916244921,22.6561394666944
"Wanang","2009-02",17.7000916244921,22.6561394666944
"Wanang","2009-03",17.7000916244921,22.6561394666944
"Wanang","2009-04",17.7000916244921,22.6561394666944
"Wanang","2009-05",17.7000916244921,22.6561394666944
"Wanang","2009-06",17.7000916244921,22.6561394666944
"Wanang","2009-07",17.7000916244921,22.6561394666944
"Wanang","2009-08",17.7000916244921,22.6561394666944
"Wanang","2009-09",17.7000916244921,22.6561394666944
"Wanang","2009-10",17.7000916244921,22.6561394666944
"Wanang","2009-11",17.7000916244921,22.6561394666944
"Wanang","2009-12",17.7000916244921,22.6561394666944
"Wanang","2010-01",17.7000916244921,22.6561394666944
"Wanang","2010-02",17.7000916244921,22.6561394666944
"Wanang","2010-03",17.7000916244921,22.6561394666944
"Wanang","2010-04",17.7000916244921,22.6561394666944
"Wanang","2010-05",17.7000916244921,22.6561394666944
"Wanang","2010-06",17.7000916244921,22.6561394666944
"Wanang","2010-07",17.7000916244921,22.6561394666944
"Wanang","2010-08",17.7000916244921,22.6561394666944
"Wanang","2010-09",17.7000916244921,22.6561394666944
"Wanang","2010-10",17.7000916244921,22.6561394666944
"Wanang","2010-11",17.7000916244921,22.6561394666944
"Wanang","2010-12",17.7000916244921,22.6561394666944
"Wanang","2011-01",17.7000916244921,22.6561394666944
"Wanang","2011-02",17.7000916244921,22.6561394666944
"Wanang","2011-03",17.7000916244921,22.6561394666944
"Wanang","2011-04",17.7000916244921,22.6561394666944
"Wanang","2011-05",17.7000916244921,22.6561394666944
"Wanang","2011-06",17.7000916244921,22.6561394666944
"Wanang","2011-07",17.7000916244921,22.6561394666944
"Wanang","2011-08",17.7000916244921,22.6561394666944
"Wanang","2011-09",17.7000916244921,22.6561394666944
"Wanang","2011-10",17.7000916244921,22.6561394666944
"Wanang","2011-11",17.7000916244921,22.6561394666944
"Wanang","2011-12",17.7000916244921,22.6561394666944
"Wanang","2012-01",17.7000916244921,22.6561394666944
"Wanang","2012-02",17.7000916244921,22.6561394666944
"Wanang","2012-03",17.7000916244921,22.6561394666944
"Wanang","2012-04",17.7000916244921,22.6561394666944
"Wanang","2012-05",17.7000916244921,22.6561394666944
"Wanang","2012-06",17.7000916244921,22.6561394666944
"Wanang","2012-07",17.7000916244921,22.6561394666944
"Wanang","2012-08",17.7000916244921,22.6561394666944
"Wanang","2012-09",17.7000916244921,22.6561394666944
"Wanang","2012-10",17.7000916244921,22.6561394666944
"Wanang","2012-11",17.7000916244921,22.6561394666944
"Wanang","2012-12",17.7000916244921,22.6561394666944
"Wanang","2013-01",17.7000916244921,22.6561394666944
"Wanang","2013-02",17.7000916244921,22.6561394666944
"Wanang","2013-03",17.7000916244921,22.6561394666944
"Wanang","2013-04",17.7000916244921,22.6561394666944
"Wanang","2013-05",17.7000916244921,22.6561394666944
"Wanang","2013-06",17.7000916244921,22.6561394666944
"Wanang","2013-07",17.7000916244921,22.6561394666944
"Wanang","2013-08",17.7000916244921,22.6561394666944
"Wanang","2013-09",17.7000916244921,22.6561394666944
"Wanang","2013-10",17.7000916244921,22.6561394666944
"Wanang","2013-11",17.7000916244921,22.6561394666944
"Wanang","2013-12",17.7000916244921,22.6561394666944
"Wanang","2014-01",17.7000916244921,22.6561394666944
"Wanang","2014-02",17.7000916244921,22.6561394666944
"Wanang","2014-03",17.7000916244921,22.6561394666944
"Wanang","2014-04",17.7000916244921,22.6561394666944
"Wanang","2014-05",17.7000916244921,22.6561394666944
"Wanang","2014-06",17.7000916244921,22.6561394666944
"Wanang","2014-07",17.7000916244921,22.6561394666944
"Wanang","2014-08",17.7000916244921,22.6561394666944
"Wanang","2014-09",17.7000916244921,22.6561394666944
"Wanang","2014-10",17.7000916244921,22.6561394666944
"Wanang","2014-11",17.7000916244921,22.6561394666944
"Wanang","2014-12",17.7000916244921,22.6561394666944
"Wanang","2015-01",17.7000916244921,22.6561394666944
"Wanang","2015-02",17.7000916244921,22.6561394666944
"Wanang","2015-03",17.7000916244921,22.6561394666944
"Wanang","2015-04",17.7000916244921,22.6561394666944
"Wanang","2015-05",17.7000916244921,22.6561394666944
"Wanang","2015-06",17.7000916244921,22.6561394666944
"Wanang","2015-07",17.7000916244921,22.6561394666944
"Wanang","2015-08",17.7000916244921,22.6561394666944
"Wanang","2015-09",17.7000916244921,22.6561394666944
"Wanang","2015-10",17.7000916244921,22.6561394666944
"Wanang","2015-11",17.7000916244921,22.6561394666944
"Wanang","2015-12",17.7000916244921,22.6561394666944
"Wanang","2016-01",17.7000916244921,22.6561394666944
"Wanang","2016-02",17.7000916244921,22.6561394666944
"Wanang","2016-03",17.7000916244921,22.6561394666944
"Wanang","2016-04",17.7000916244921,22.6561394666944
"Wanang","2016-05",17.7000916244921,22.6561394666944
"Wanang","2016-06",17.7000916244921,22.6561394666944
"Wanang","2016-07",17.7000916244921,22.6561394666944
