"Description: ","Dates where precipitation > 200 mm or abs(temperature) > 50 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN
2018-12-19,NA,8.71671,-62.79637
2018-12-20,NA,5.130547,-65.69595
2018-12-21,NA,4.622867,-65.97459
2018-12-22,NA,7.427663,-70.85025
2018-12-23,NA,6.291505,-64.88522
2018-12-24,NA,7.355189,-68.51579
2018-12-26,NA,9.389827,-58.21065
2018-12-27,NA,8.233883,-65.03776
2018-12-28,NA,5.968925,-60.73314
2018-12-29,NA,11.96902,-62.85885
2018-12-30,NA,7.297049,-53.79784
2018-12-31,NA,5.569869,-55.84072
2019-1-1,NA,-46.40448,-70.16649
2019-1-2,NA,-53.23769,-64.66229
2019-1-3,NA,-51.4405,-69.92002
2019-1-4,NA,4.715205,-63.05996
2019-1-5,NA,-31.41276,-67.32675
2019-1-6,NA,8.52217,-67.82005
2019-1-8,NA,3.78855,-71.36678
2019-1-9,NA,3.915464,-70.30618
2019-1-10,NA,1.070807,-67.65015
2019-1-11,NA,2.503099,-62.99325
2019-1-14,NA,0.6892756,-64.12569
2019-1-15,NA,5.123249,-64.50037
2019-1-16,NA,6.448113,-54.87907
2019-1-27,NA,5.479187,-69.59168
2019-1-28,NA,2.174859,-69.85121
2019-1-30,NA,0.6893074,-56.32272
2019-2-1,NA,-9.795034,-53.31896
2019-2-2,NA,5.748509,-53.73712
2019-2-3,NA,11.28402,-66.71182
2019-2-4,NA,8.256804,-71.21445
2019-2-5,NA,22.17063,-70.9378
2019-2-6,NA,9.495761,-68.73179
2019-2-7,NA,-43.53419,-69.18577
2019-2-8,NA,11.38097,-71.01875
2019-2-21,NA,11.03731,-69.84609
2019-2-22,NA,5.024774,-69.47947
2019-2-24,NA,19.00224,-71.42923
2019-2-25,NA,4.849795,-70.37399
2019-2-26,NA,2.169128,-60.04649
2019-2-27,NA,2.266351,-59.32505
