STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960917,10,0,0,200,139,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960918,0,0,0,217,100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960919,0,0,0,228,89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960920,0,0,0,250,89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960921,89,0,0,244,100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960922,0,0,0,233,144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960923,0,0,0,217,117,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960924,0,0,0,211,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960925,0,0,0,217,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960926,0,0,0,178,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960927,0,0,0,228,150,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960928,226,0,0,228,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960929,0,0,0,194,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960930,0,0,0,239,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961001,10,0,0,228,89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961002,0,0,0,206,144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961003,0,0,0,161,22,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961004,0,0,0,122,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961005,0,0,0,150,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961006,0,0,0,172,33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961007,66,0,0,189,33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961008,259,0,0,133,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961009,53,0,0,183,89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961010,0,0,0,144,61,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961011,0,0,0,144,6,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961012,0,0,0,161,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961013,0,0,0,228,67,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961014,0,0,0,239,56,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961015,0,0,0,200,50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19961016,0,0,0,278,89,,,
